,date,open,high,low,close,tick_volume,spread,real_volume
0,8/9/2019 22:30,20251,20275,20083,20093,5675,1,0
1,8/9/2019 22:00,20201,20266,20189,20250,3964,1,0
2,8/9/2019 21:30,20223,20243,20179,20202,2708,1,0
3,8/9/2019 21:00,20177,20224,20157,20222,2883,1,0
4,8/9/2019 20:30,20179,20241,20172,20178,3645,1,0
5,8/9/2019 20:00,20121,20187,20105,20177,4739,1,0
6,8/9/2019 19:30,20023,20189,20010,20121,4836,1,0
7,8/9/2019 19:00,19972,20049,19966,20023,4846,1,0
8,8/9/2019 18:30,19932,20023,19930,19972,5002,1,0
9,8/9/2019 18:00,20047,20060,19928,19932,4368,1,0
10,8/9/2019 17:30,20062,20071,19965,20049,6057,1,0
11,8/9/2019 17:00,20157,20183,20050,20062,5901,1,0
12,8/9/2019 16:30,20171,20250,20104,20157,6440,1,0
13,8/8/2019 22:30,20238,20350,20232,20346,4769,1,0
14,8/8/2019 22:00,20215,20245,20206,20237,3156,1,0
15,8/8/2019 21:30,20211,20256,20190,20215,3145,1,0
16,8/8/2019 21:00,20220,20228,20175,20210,2686,1,0
17,8/8/2019 20:30,20173,20244,20173,20220,1974,1,0
18,8/8/2019 20:00,20215,20240,20167,20173,2269,1,0
19,8/8/2019 19:30,20213,20246,20207,20215,2450,1,0
20,8/8/2019 19:00,20216,20236,20203,20213,2738,1,0
21,8/8/2019 18:30,20157,20235,20151,20215,3079,1,0
22,8/8/2019 18:00,20194,20213,20156,20156,3470,1,0
23,8/8/2019 17:30,20082,20213,20082,20194,4093,1,0
24,8/8/2019 17:00,20045,20093,20031,20081,5150,1,0
25,8/8/2019 16:30,20043,20065,19940,20044,8628,1,0
26,8/7/2019 22:30,19867,19955,19851,19906,7858,1,0
27,8/7/2019 22:00,19857,19875,19786,19866,5792,1,0
28,8/7/2019 21:30,19784,19865,19750,19857,6541,1,0
29,8/7/2019 21:00,19792,19869,19737,19784,5716,1,0
30,8/7/2019 20:30,19726,19864,19726,19793,5864,1,0
31,8/7/2019 20:00,19657,19728,19644,19726,5792,1,0
32,8/7/2019 19:30,19584,19667,19567,19657,6174,1,0
33,8/7/2019 19:00,19641,19653,19552,19585,7427,1,0
34,8/7/2019 18:30,19674,19683,19603,19639,8629,1,0
35,8/7/2019 18:00,19686,19729,19618,19673,10359,1,0
36,8/7/2019 17:30,19561,19738,19547,19688,11201,1,0
37,8/7/2019 17:00,19496,19651,19430,19561,11209,1,0
38,8/7/2019 16:30,19555,19619,19380,19496,9104,1,0
39,8/6/2019 22:30,19662,19720,19639,19692,5711,1,0
40,8/6/2019 22:00,19647,19699,19631,19662,3788,1,0
41,8/6/2019 21:30,19701,19741,19643,19647,4974,1,0
42,8/6/2019 21:00,19650,19710,19574,19701,4840,1,0
43,8/6/2019 20:30,19664,19697,19625,19651,4213,1,0
44,8/6/2019 20:00,19505,19677,19504,19657,4902,1,0
45,8/6/2019 19:30,19487,19527,19470,19505,5259,1,0
46,8/6/2019 19:00,19532,19577,19476,19487,6342,1,0
47,8/6/2019 18:30,19523,19541,19402,19532,6656,1,0
48,8/6/2019 18:00,19559,19564,19433,19522,6044,1,0
49,8/6/2019 17:30,19557,19600,19475,19558,8145,1,0
50,8/6/2019 17:00,19710,19750,19534,19557,9834,1,0
51,8/6/2019 16:30,19708,19802,19564,19710,9947,1,0
52,8/5/2019 22:30,19297,19429,19282,19318,11310,1,0
53,8/5/2019 22:00,19296,19415,19255,19296,10238,1,0
54,8/5/2019 21:30,19285,19343,19270,19296,6663,1,0
55,8/5/2019 21:00,19363,19396,19285,19286,4775,1,0
56,8/5/2019 20:30,19416,19477,19356,19363,4916,1,0
57,8/5/2019 20:00,19320,19453,19305,19417,6387,1,0
58,8/5/2019 19:30,19435,19472,19309,19319,6155,1,0
59,8/5/2019 19:00,19512,19523,19432,19435,5203,1,0
60,8/5/2019 18:30,19532,19567,19483,19511,5883,1,0
61,8/5/2019 18:00,19541,19626,19523,19532,7330,1,0
62,8/5/2019 17:30,19604,19612,19427,19540,10317,1,0
63,8/5/2019 17:00,19613,19667,19512,19604,10619,1,0
64,8/5/2019 16:30,19759,19861,19533,19616,14329,1,0
65,8/2/2019 22:30,20412,20473,20321,20404,10967,1,0
66,8/2/2019 22:00,20394,20430,20297,20413,5633,1,0
67,8/2/2019 21:30,20407,20437,20365,20393,5516,1,0
68,8/2/2019 21:00,20350,20446,20322,20407,6600,1,0
69,8/2/2019 20:30,20329,20365,20270,20350,4602,1,0
70,8/2/2019 20:00,20355,20365,20302,20328,5434,1,0
71,8/2/2019 19:30,20431,20442,20344,20355,6268,1,0
72,8/2/2019 19:00,20316,20460,20286,20431,7331,1,0
73,8/2/2019 18:30,20293,20339,20239,20317,6672,1,0
74,8/2/2019 18:00,20190,20368,20166,20292,8377,1,0
75,8/2/2019 17:30,20388,20388,20162,20190,8450,1,0
76,8/2/2019 17:00,20489,20546,20356,20391,10410,1,0
77,8/2/2019 16:30,20538,20642,20452,20492,13647,1,0
78,8/1/2019 22:30,20901,20973,20749,20841,9341,1,0
