index,price,count
0,108780,1
1,108790,1
2,108800,3
3,108810,3
4,108820,3
5,108830,4
6,108840,7
7,108850,10
8,108860,14
9,108870,15
10,108880,18
11,108890,20
12,108900,21
13,108910,20
14,108920,18
15,108930,20
16,108940,19
17,108950,20
18,108960,24
19,108970,26
20,108980,30
21,108990,31
22,109000,30
23,109010,21
24,109020,20
25,109030,19
26,109040,20
27,109050,18
28,109060,19
29,109070,17
30,109080,19
31,109090,17
32,109100,18
33,109110,22
34,109120,21
35,109130,18
36,109140,18
37,109150,20
38,109160,23
39,109170,28
40,109180,31
41,109190,34
42,109200,34
43,109210,33
44,109220,30
45,109230,33
46,109240,30
47,109250,31
48,109260,33
49,109270,32
50,109280,34
51,109290,36
52,109300,39
53,109310,48
54,109320,55
55,109330,56
56,109340,59
57,109350,59
58,109360,51
59,109370,50
60,109380,42
61,109390,44
62,109400,48
63,109410,48
64,109420,51
65,109430,48
66,109440,48
67,109450,47
68,109460,44
69,109470,41
70,109480,40
71,109490,38
72,109500,40
73,109510,40
74,109520,43
75,109530,44
76,109540,47
77,109550,57
78,109560,56
79,109570,60
80,109580,70
81,109590,64
82,109600,56
83,109610,52
84,109620,47
85,109630,42
86,109640,40
87,109650,36
88,109660,34
89,109670,35
90,109680,39
91,109690,44
92,109700,54
93,109710,65
94,109720,72
95,109730,75
96,109740,77
97,109750,79
98,109760,79
99,109770,89
100,109780,92
101,109790,90
102,109800,92
103,109810,87
104,109820,84
105,109830,87
106,109840,84
107,109850,75
108,109860,80
109,109870,82
110,109880,81
111,109890,81
112,109900,74
113,109910,68
114,109920,62
115,109930,64
116,109940,58
117,109950,53
118,109960,52
119,109970,44
120,109980,41
121,109990,38
122,110000,38
123,110010,35
124,110020,32
125,110030,31
126,110040,32
127,110050,38
128,110060,36
129,110070,38
130,110080,39
131,110090,36
132,110100,34
133,110110,35
134,110120,42
135,110130,45
136,110140,50
137,110150,59
138,110160,65
139,110170,69
140,110180,60
141,110190,53
142,110200,52
143,110210,40
144,110220,35
145,110230,31
146,110240,26
147,110250,22
148,110260,17
149,110270,15
150,110280,14
151,110290,12
152,110300,13
153,110310,12
154,110320,14
155,110330,13
156,110340,14
157,110350,10
158,110360,12
159,110370,14
160,110380,14
161,110390,15
162,110400,21
163,110410,23
164,110420,22
165,110430,25
166,110440,26
167,110450,23
168,110460,24
169,110470,22
170,110480,21
171,110490,19
172,110500,20
173,110510,22
174,110520,20
175,110530,18
176,110540,21
177,110550,19
178,110560,17
179,110570,17
180,110580,16
181,110590,13
182,110600,10
183,110610,6
184,110620,6
185,110630,5
186,110640,2
187,110650,2
188,110660,1
189,110670,1
190,110680,1
